"","Fibroblast_1","Fibroblast_2","SHSY5Y_1","SHSY5Y_2","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GFRA1",854.368439788876,901.774922813207,150.70798921398,152.195216134661,514.761641987681,-2.53550968689472,0.169960949409479,-14.918189711838,2.50990767568762e-50,1.77840099974462e-49
"HDAC6",1344.0674235703,1273.3216721268,1439.7585568564,1435.09327537077,1373.06023198107,0.135391952939034,0.106736861483139,1.2684648120408,0.20463200910909,0.258284040034838
"HGS",3423.98571372707,3296.1873072786,4191.51813656546,4234.56285699924,3786.56350364259,0.32637979366334,0.0757660150159534,4.30773340256337,1.64936012733432e-05,3.31472398564029e-05
"LAMP1",17773.7288076201,17626.5390134433,3205.41357769836,3179.18895925737,10446.2175895048,-2.47108848203072,0.060880501186303,-40.5891612894059,0,0
"LAPTM4B",1612.35995191864,1671.96037191118,7521.62918757285,7529.05122241923,4583.75018345548,2.19612977974755,0.0750636224259448,29.2569117872532,3.66739552395249e-188,8.84759170153538e-187
"LRRK2",471.465510981057,572.801238525127,71.1464111517774,72.2542945285766,296.916863796634,-2.86445191866178,0.231093316995836,-12.3952174640922,2.77392197742818e-35,1.52466960726991e-34
"NDFIP2",1433.93239665785,1500.37801892956,1416.04308647247,1419.72002121575,1442.51838081891,-0.0493102776273755,0.104266461518892,-0.472925588046745,0.636266268634351,0.689972309186937
"NEDD4L",1405.27979654298,1508.11857620692,826.216387569027,820.163109170119,1139.94446737226,-0.823437715042297,0.115662096038297,-7.11933937951156,1.08445582536222e-12,3.16630526696785e-12
"NSG1",9.11673640018618,18.0613003138554,430.703542779039,420.458501139696,219.585020158194,4.96714462684309,0.392043671866657,12.6698757900945,8.68518118082441e-37,4.92353528621902e-36
"NSG2",0,0,7705.99784442853,7712.76160957167,3854.68986350005,14.9807397480206,1.44462967294795,10.3699515720527,3.39696870125538e-25,1.49273263705359e-24
"PGA3",2.60478182862462,0,0,0,0.651195457156155,-3.20616294597292,4.88215350673419,-0.656710802220886,0.511366887313928,NA
"PGA5",9.11673640018618,6.45046439780549,4.59009104205015,3.84331353875407,6.00015134469897,-0.884045956912719,1.38780441406789,-0.637010480692615,0.524118016801172,0.585324855165117
"PMEL",52.0956365724924,37.4126935072718,65.7913049360522,69.9483064053241,56.3119853552851,0.601013735748023,0.475213776077322,1.26472288052995,0.205970684939378,0.259896442274175
"PRKAR1A",6961.2794369993,7131.63343821374,6270.06436344051,6272.28769524665,6658.81623347505,-0.16816924967933,0.0652547375182689,-2.57711939508221,0.0099627531471911,0.0156441752451825
"PRKAR1B",715.012611957459,666.978018733087,2998.8594808061,3043.13565998547,1855.99644287053,2.12835291056504,0.101685102745769,20.9308232287112,2.80608304795511e-97,3.44851769077204e-96
"RAB11A",1906.70029855322,2111.88204384152,3695.78830402405,3694.96163615817,2852.33307064424,0.878976047550354,0.0872658337315538,10.0723961482365,7.31732808958005e-24,3.12098192550044e-23
"RAB27A",462.34877458087,387.027863868329,250.159961791733,250.584042726766,337.530160741925,-0.76223625732413,0.201301164084304,-3.78654669381301,0.000152755401841871,0.00028506732720386
"RAB27B",26.0478182862462,34.8325077481496,11.4752276051254,13.0672660317638,21.3557049178213,-1.31089909076899,0.757415420951994,-1.73075310391928,0.0834958093569495,0.114426920529204
"SFTPA2",1.30239091431231,0,0,0,0.325597728578078,-2.20485352783589,4.9966445197704,-0.441266837997354,0.659019830780879,NA
"SFTPB",5.20956365724924,2.58018575912219,0,0,1.94743735409286,-4.78698932875926,2.87417578426388,-1.6655172432278,0.0958096063894533,0.129991241006429
"SFTPC",0,2.58018575912219,3.0600606947001,3.07465083100326,2.17872432120639,1.24740716258389,2.44864088147275,0.509428382096448,0.610451986370423,0.666532724944729
"SFTPD",32.5597728578078,23.2216718320997,6.1201213894002,6.14930166200652,17.0127169353286,-2.18455431645686,0.873294364584809,-2.50150969140338,0.0123665057717855,0.0192038707166503
"SLC17A8",0,0,1.53003034735005,1.53732541550163,0.76683894071292,2.68530718560855,4.09749681239656,0.655353087154193,0.51224044844846,NA
"SLC2A4",0,6.45046439780549,69.6163808044273,65.3363301588192,35.350793840263,4.38205805196212,0.876642403794335,4.99868365139016,5.77230134003202e-07,1.27968628063052e-06
"SORL1",233.127973661904,207.704953609337,520.210318099017,525.765292101557,371.702134367954,1.24665857391548,0.193601777332142,6.43929302248462,1.20031274256847e-10,3.182346490756e-10
"STEAP3",36.4669456007447,64.5046439780549,50.4910014625517,46.8884251727997,49.5877540535377,-0.0526095058751024,0.516759748442587,-0.101806508795736,0.918910259225532,0.934985133158785
"TMEM9",1364.9056781993,1255.26037181295,2874.16200749707,2870.95521344929,2091.32081773965,1.13273885949984,0.0947647355547188,11.953168579738,6.24961736310914e-33,3.28109741252073e-32
"TPT1",21097.4304209451,22037.3665686627,17934.2507164636,17970.5654445063,19759.9032876444,-0.264680618695455,0.0567695711215176,-4.66236776967884,3.12591932200897e-06,6.61730197743991e-06
"TSG101",2047.35851729895,2153.16501598747,2025.76017989147,2036.18751283191,2065.61780650245,-0.0484238119882478,0.091792277755614,-0.52753688188423,0.597820811340107,0.654592783173256
"VTA1",1426.11805117198,1754.52631620309,1963.79395082379,1969.31385725759,1778.43804386411,0.306258785890358,0.112430339442722,2.72398702528494,0.00644990403060152,0.0103451855751947
